Serial,WindSpeed(m/s),Pressure(hpa),Temperature(Â°C),Humidity(%),Sunlight(Lux),Power(mW),MonthDate,Hour,Season_weight,Sunlight_time(h),UV,Cloud
20240304070016 ,0.65,1017.52,22.28,63.15,22740.58,218.68,304,7,0.25,,,
20240304071016 ,1.12,1017.48,23.78,57.21,31276,339.7,304,7,0.25,,,
20240304072016 ,1.57,1017.43,25.27,52.59,40809.1,490.34,304,7,0.25,,,
20240304073016 ,1.38,1017.53,26.73,48.8,50825.69,658.88,304,7,0.25,,,
20240304074016 ,1.05,1017.53,28.72,43.96,57574.75,777.46,304,7,0.25,,,
20240304075016 ,0.66,1017.58,31.17,38.93,64417.79,907.69,304,7,0.25,,,
20240304080016 ,0.86,1017.51,32.87,35.05,72551.16,1067.17,304,8,0.25,,,
20240304081016 ,0.41,1017.49,35.21,31.52,81951.88,1261.67,304,8,0.25,,,
20240304082016 ,0.49,1017.45,37.26,27.8,89109.01,1395.76,304,8,0.25,,,
20240304083016 ,0.57,1017.37,38.13,26.45,93679,1474.02,304,8,0.25,,,
20240304084016 ,0.39,1017.33,39.76,24.2,98935.4,1556.65,304,8,0.25,,,
20240304085016 ,0.41,1017.23,40.66,22.32,102853.84,1584.07,304,8,0.25,,,
20240305070016 ,0.43,1011.78,22.61,71.57,7846.75,11.07,305,7,0.25,,,
20240305071016 ,0.17,1011.69,22.87,70.73,8109.75,10.15,305,7,0.25,,,
20240305072016 ,0.92,1011.55,23.23,69.34,11763.83,22.61,305,7,0.25,,,
20240305073016 ,1.8,1011.31,24.24,66.11,29717.15,268.56,305,7,0.25,,,
20240305074016 ,1.58,1011.23,29.68,50.38,62112.22,880.59,305,7,0.25,,,
20240305075016 ,1.12,1011.13,33.37,40.75,68771.08,1003.07,305,7,0.25,,,
20240305080016 ,0.76,1011.15,36.71,34.11,75875.2,1138.6,305,8,0.25,,,
20240305081016 ,1.66,1011.15,36.9,33.05,83496.11,1292.64,305,8,0.25,,,
20240305082016 ,2,1011.09,36.94,32.74,89109.73,1398.02,305,8,0.25,,,
20240305083016 ,1.32,1010.94,38.92,30.02,93635.88,1416.3,305,8,0.25,,,
20240305084016 ,1.85,1010.89,39.15,28.6,98709.71,1551.71,305,8,0.25,,,
20240305085016 ,1.09,1010.76,40.55,27.22,102162.94,1554.67,305,8,0.25,,,
20240306070016 ,0.08,1010.31,23.95,76.39,4596,4.76,306,7,0.25,,,
20240306071016 ,1.15,1010.77,23.77,79.65,1998.58,1.28,306,7,0.25,,,
20240306072016 ,1.74,1011.02,23.86,82.53,3402.17,2.77,306,7,0.25,,,
20240306073016 ,1.27,1011.15,24.1,82.22,5259.58,6.53,306,7,0.25,,,
20240306074016 ,2.07,1011.4,24.18,81.41,5964.42,7.91,306,7,0.25,,,
20240306075016 ,2.44,1011.68,23.97,82.1,4032.08,4.19,306,7,0.25,,,
20240306080016 ,2.45,1011.92,22.91,87.55,1462.92,0.46,306,8,0.25,,,
20240306081016 ,3.39,1012.19,22.08,90.17,5322.33,5.58,306,8,0.25,,,
20240306082016 ,3.08,1012.3,22.17,88.79,10416.25,20.23,306,8,0.25,,,
20240306083016 ,3.2,1012.46,22.23,87.84,10646.17,21.88,306,8,0.25,,,
20240306084016 ,2.66,1012.69,21.8,88.82,3671.83,2.48,306,8,0.25,,,
20240306085016 ,3.6,1012.84,21.41,88.89,3227.17,1.7,306,8,0.25,,,
20240307070016 ,2.51,1018.83,17.28,80.4,1809.25,0.76,307,7,0.25,,,
20240307071016 ,2.72,1018.87,17.62,77.13,2381.33,1.2,307,7,0.25,,,
20240307072016 ,2.46,1018.87,17.81,76.83,3342.42,2.28,307,7,0.25,,,
20240307073016 ,1.64,1018.96,17.9,77.51,3475.25,2.38,307,7,0.25,,,
20240307074016 ,1.25,1019.05,18.07,76.84,4423.83,3.54,307,7,0.25,,,
20240307075016 ,1.34,1019.23,18.22,75.61,5064.5,4.76,307,7,0.25,,,
20240307080016 ,1.38,1019.15,18.38,75.02,5753.92,5.93,307,8,0.25,,,
20240307081016 ,1.22,1019.25,18.64,75.43,6590.08,7.54,307,8,0.25,,,
20240307082016 ,0.04,1019.3,18.94,79.93,8462.25,12.99,307,8,0.25,,,
20240307083016 ,0.3,1019.45,19.4,81.07,10200.58,18.7,307,8,0.25,,,
20240307084016 ,0.68,1019.57,19.23,80.16,6549.75,8.41,307,8,0.25,,,
20240307085016 ,0.38,1019.59,18.91,80.46,4935.17,4.41,307,8,0.25,,,
20240308070016 ,3.21,1021.25,17.55,65.04,1188.08,0.29,308,7,0.25,,,
20240308071016 ,3.95,1021.47,17.54,63.9,1524.5,0.45,308,7,0.25,,,
20240308072016 ,2.86,1021.58,17.54,63.8,1816.83,0.64,308,7,0.25,,,
20240308073016 ,2.86,1021.76,17.57,62.41,2352.42,1.02,308,7,0.25,,,
20240308074016 ,2.45,1021.88,17.59,60.88,2385.08,1.05,308,7,0.25,,,
20240308075016 ,4.11,1022.01,17.53,58.48,2853.75,1.45,308,7,0.25,,,
20240308080016 ,3.08,1022.06,17.56,59.29,3308.33,1.91,308,8,0.25,,,
20240308081016 ,3.91,1022.18,17.54,59.11,3982.17,2.74,308,8,0.25,,,
20240308082016 ,4.48,1022.28,17.61,57.26,4913.42,4.12,308,8,0.25,,,
20240308083016 ,3.34,1022.24,17.85,55,6535.33,7.56,308,8,0.25,,,
20240308084016 ,3.3,1022.33,18.11,52.45,8969.17,14.01,308,8,0.25,,,
20240308085016 ,3.03,1022.46,18.39,52.97,9797.25,16.66,308,8,0.25,,,
20240309070016 ,0.21,1023.86,16.11,60.2,3280.25,2.27,309,7,0.25,,,
20240309071016 ,0.2,1024.34,16.36,58.27,2960.58,1.75,309,7,0.25,,,
20240309072016 ,0.57,1024.76,16.55,55.7,3560.5,2.55,309,7,0.25,,,
20240309073016 ,0.75,1024.93,16.79,53.55,4233.25,3.7,309,7,0.25,,,
20240309074016 ,0.55,1025.03,17.21,53.06,6896,9.73,309,7,0.25,,,
20240309075016 ,0.3,1025.1,17.89,51.3,8622.58,14.68,309,7,0.25,,,
20240309080016 ,0.33,1025.14,18.6,49.9,11829.33,28.19,309,8,0.25,,,
20240309081016 ,0.78,1025.23,19.12,47.51,10488.58,21.96,309,8,0.25,,,
20240309082016 ,0.88,1025.38,18.97,47.58,12496.58,31.12,309,8,0.25,,,
20240309083016 ,1.18,1025.25,19.8,45.29,17164.42,57.37,309,8,0.25,,,
20240309084016 ,1.19,1025.36,20.26,43.52,19225.08,71.54,309,8,0.25,,,
20240309085016 ,1.16,1025.21,20.52,43.42,15956.42,49.61,309,8,0.25,,,
20240310070016 ,0.74,1024.99,16.54,73.94,1540.75,0.48,310,7,0.25,,,
20240310071016 ,0.55,1025.15,16.69,73.26,1959.33,0.76,310,7,0.25,,,
20240310072016 ,0.79,1025.31,16.87,72.43,3204.67,1.91,310,7,0.25,,,
20240310073016 ,0.36,1025.47,17.12,71.85,3413.17,2.15,310,7,0.25,,,
20240310074016 ,0.39,1025.61,17.26,70.91,3441.08,2.14,310,7,0.25,,,
20240310075016 ,0,1025.8,17.47,70.54,3495.25,2.18,310,7,0.25,,,
20240310080016 ,0.07,1026,17.56,70.23,3329.58,1.98,310,8,0.25,,,
20240310081016 ,0.18,1026.14,17.57,69.8,3362.67,1.96,310,8,0.25,,,
20240310082016 ,0.1,1026.25,17.53,69.74,2987.42,1.52,310,8,0.25,,,
20240310083016 ,0.24,1026.41,17.51,69.62,3596.42,2.15,310,8,0.25,,,
20240310084016 ,0.11,1026.47,17.59,70.67,4158.33,2.87,310,8,0.25,,,
20240310085016 ,0.25,1026.58,17.54,72.74,4989.42,4.22,310,8,0.25,,,
20240311070016 ,0.26,1020.66,19.48,70.8,3828.58,2.75,311,7,0.25,,,
20240311071016 ,0,1020.7,19.71,70.35,3979.58,2.91,311,7,0.25,,,
20240311072016 ,0.89,1020.72,19.79,69.25,4831.42,4.23,311,7,0.25,,,
20240311073016 ,1.18,1020.73,19.84,69.18,6086.17,6.6,311,7,0.25,,,
20240311074016 ,1.1,1020.75,20.17,68.05,7805.92,10.44,311,7,0.25,,,
20240311075016 ,2.25,1020.64,20.2,66.74,8752.75,13.35,311,7,0.25,,,
20240311080016 ,2.13,1020.62,20.52,65.52,12067.42,25.2,311,8,0.25,,,
20240311081016 ,1.82,1020.69,20.99,64.31,12562.42,27.19,311,8,0.25,,,
20240311082016 ,2.04,1020.65,21.32,63.03,13951.25,33.28,311,8,0.25,,,
20240311083016 ,2.12,1020.58,21.92,61.21,19771.08,67.08,311,8,0.25,,,
20240311084016 ,2.58,1020.6,22.24,58.89,16881.25,48.87,311,8,0.25,,,
20240311085016 ,2.61,1020.5,22.26,58.31,17850.92,54.48,311,8,0.25,,,
20240312070016 ,3.57,1017.96,18.62,77.29,2163.17,0.94,312,7,0.25,,,
20240312071016 ,3.76,1018.18,18.9,75.33,2735.5,1.48,312,7,0.25,,,
20240312072016 ,2.93,1018.41,19.11,73.44,2895.33,1.67,312,7,0.25,,,
20240312073016 ,3.13,1018.68,19.29,70.11,3692.17,2.66,312,7,0.25,,,
20240312074016 ,3.03,1018.88,19.49,68.5,3985.75,3.07,312,7,0.25,,,
20240312075016 ,3.15,1019.04,19.67,67.02,4696.42,4.34,312,7,0.25,,,
20240312080016 ,3.2,1019.24,20.03,66,10291.25,23.64,312,8,0.25,,,
20240312081016 ,3.66,1019.45,20.46,63.19,9869.17,18.21,312,8,0.25,,,
20240312082016 ,3.52,1019.52,20.37,63.1,9374.25,16.16,312,8,0.25,,,
20240312083016 ,3.57,1019.62,20.58,61.2,12966.33,31.63,312,8,0.25,,,
20240312084016 ,1.98,1019.76,21.51,60.29,19457.5,69.57,312,8,0.25,,,
20240312085016 ,2.35,1019.8,21.78,60.36,16053.5,48.34,312,8,0.25,,,
20240313070016 ,0.11,1024.42,17.8,68.48,3037.92,1.94,313,7,0.25,,,
20240313071016 ,0.15,1024.57,18.11,67.34,3144.08,2.08,313,7,0.25,,,
20240313072016 ,0.16,1024.78,18.39,67.91,3295.75,2.25,313,7,0.25,,,
20240313073016 ,0.07,1024.94,18.62,68.24,4024.75,3.28,313,7,0.25,,,
20240313074016 ,0.04,1025.02,18.86,69.05,4817.83,4.54,313,7,0.25,,,
20240313075016 ,0.15,1025.08,19.03,68.87,5489,5.92,313,7,0.25,,,
20240313080016 ,0.07,1025.08,19.39,68.59,6961.58,9.55,313,8,0.25,,,
20240313081016 ,0.06,1025.08,20.06,67.11,9379.58,16.94,313,8,0.25,,,
20240313082016 ,0,1025.15,20.99,64.48,11211.75,24.31,313,8,0.25,,,
20240313083016 ,0.03,1025.14,21.53,60.5,10618.75,22.4,313,8,0.25,,,
20240313084016 ,0,1025.14,21.74,58.28,10667.08,22.25,313,8,0.25,,,
20240313085016 ,0,1025.1,21.78,57.11,9097.42,15.85,313,8,0.25,,,
20240314070016 ,0.38,1021.68,18.27,75.96,875.92,0.17,314,7,0.25,,,
20240314071016 ,0.65,1021.63,18.25,75.88,994.17,0.21,314,7,0.25,,,
20240314072016 ,0.4,1021.55,18.27,75.89,1439,0.4,314,7,0.25,,,
20240314073016 ,1.01,1021.76,18.36,75.36,1367,0.38,314,7,0.25,,,
20240314074016 ,1.44,1021.76,18.35,75.31,2013.25,0.77,314,7,0.25,,,
20240314075016 ,1.03,1021.71,18.46,75.09,2684.58,1.34,314,7,0.25,,,
20240314080016 ,0.3,1021.8,18.74,74.01,3478.25,2.29,314,8,0.25,,,
20240314081016 ,0.4,1021.88,19.02,72.54,3545,2.32,314,8,0.25,,,
20240314082016 ,0.2,1021.85,19.18,71.52,3609.33,2.3,314,8,0.25,,,
20240314083016 ,0.36,1021.87,19.2,71.58,2883.58,1.52,314,8,0.25,,,
20240314084016 ,1.21,1021.89,19.16,71.97,4471.66,3.6,314,8,0.25,,,
20240314085016 ,1.3,1021.89,19.45,70.84,5764.5,5.48,314,8,0.25,,,
20240315070016 ,0,1021.49,19.08,71.59,2427.58,1.2,315,7,0.25,,,
20240315071016 ,0.16,1021.62,19.35,71.13,3252.42,2.13,315,7,0.25,,,
20240315072016 ,0.16,1021.65,19.52,68.74,3592.17,2.52,315,7,0.25,,,
20240315073016 ,0.82,1021.71,19.61,68.52,3945.58,3.02,315,7,0.25,,,
20240315074016 ,0.2,1021.8,19.81,69.16,4460.08,3.9,315,7,0.25,,,
20240315075016 ,0.56,1021.85,20.1,67.43,5480.5,5.85,315,7,0.25,,,
20240315080016 ,0.5,1021.89,20.56,66.09,8792.5,14.6,315,8,0.25,,,
20240315081016 ,0.4,1021.9,21.26,65.11,10421.67,20.39,315,8,0.25,,,
20240315082016 ,0.22,1021.9,21.92,63.67,11568.25,24.8,315,8,0.25,,,
20240315083016 ,0.2,1021.96,22.3,61.92,10461.67,19.81,315,8,0.25,,,
20240315084016 ,0.42,1022.02,22.19,62.75,9466.75,16.26,315,8,0.25,,,
20240315085016 ,0.2,1022.05,22.66,62.88,14469.58,39.79,315,8,0.25,,,
20240316070016 ,0.78,1021.07,25.8,56.19,29627.42,345.6,316,7,0.25,,,
20240316071016 ,0.06,1021.19,29.39,47.91,39131.03,507.49,316,7,0.25,,,
20240316072016 ,0.41,1021.3,30.9,42.86,37257.15,312.9,316,7,0.25,,,
20240316073016 ,0.29,1021.32,30.58,43.5,42345.03,424.1,316,7,0.25,,,
20240316074016 ,0.06,1021.4,32.15,40.07,42767.75,437.7,316,7,0.25,,,
20240316075016 ,0.52,1021.43,30.25,42.62,31052.04,225.66,316,7,0.25,,,
20240316080016 ,0.42,1021.42,33.22,37.53,75260.32,1248.22,316,8,0.25,,,
20240316081016 ,0.23,1021.42,36.81,30.86,68195.72,949.84,316,8,0.25,,,
20240316082016 ,0.6,1021.46,34.78,33.33,36162.78,259.72,316,8,0.25,,,
20240316083016 ,0.68,1021.56,31.58,39,43249.57,378.27,316,8,0.25,,,
20240316084016 ,0.24,1021.6,32.15,38.48,39625.61,274.58,316,8,0.25,,,
20240316085016 ,0.25,1021.67,32.64,36.97,51485.54,527.09,316,8,0.25,,,
20240317070016 ,0.16,1019.08,22.36,73.69,4964.58,4.99,317,7,0.25,,,
20240317071016 ,0.09,1019.25,22.79,73.16,6330.58,7.97,317,7,0.25,,,
20240317072016 ,0.16,1019.37,23.08,72.12,8125,12.86,317,7,0.25,,,
20240317073016 ,0,1019.41,23.64,70.4,8460,13.99,317,7,0.25,,,
20240317074016 ,0,1019.44,24.15,68.55,9284.92,16.54,317,7,0.25,,,
20240317075016 ,0,1019.43,24.76,66.68,11964.5,26.34,317,7,0.25,,,
20240317080016 ,0,1019.36,25.11,65.15,12661.75,29.88,317,8,0.25,,,
20240317081016 ,0,1019.35,25.7,62.88,15199.17,43.61,317,8,0.25,,,
20240317082016 ,0,1019.39,26.67,59.93,19498.34,69.83,317,8,0.25,,,
20240317083016 ,0,1019.37,27.7,56.76,24183,103.12,317,8,0.25,,,
20240317084016 ,0,1019.27,30.66,49.5,51631.11,603.81,317,8,0.25,,,
20240317085016 ,0,1019.16,35.29,38.35,81798.78,1159.37,317,8,0.25,,,
20240318070016 ,0,1019.95,21.32,73.9,1318.08,0.38,318,7,0.25,,,
20240318071016 ,0,1020.08,21.38,73.61,1966.75,0.81,318,7,0.25,,,
20240318072016 ,0,1020.24,21.47,73.55,1942.75,0.78,318,7,0.25,,,
20240318073016 ,0,1020.34,21.57,73.47,2373.58,1.11,318,7,0.25,,,
20240318074016 ,0,1020.4,21.58,73.13,2826.75,1.55,318,7,0.25,,,
20240318075016 ,0,1020.45,21.72,72.47,3294.33,2.08,318,7,0.25,,,
20240318080016 ,0,1020.46,21.85,71.96,3579.58,2.41,318,8,0.25,,,
20240318081016 ,0,1020.47,22.17,72.39,4898.17,4.42,318,8,0.25,,,
20240318082016 ,0,1020.44,22.51,71.9,5365.58,5.36,318,8,0.25,,,
20240318083016 ,0,1020.45,22.8,70.85,6683.17,8.14,318,8,0.25,,,
20240318084016 ,0,1020.45,23.08,69.36,6805.33,8.44,318,8,0.25,,,
20240318085016 ,0,1020.42,23.32,68.15,7292.75,9.6,318,8,0.25,,,
20240319070016 ,0,1019.36,19.4,94.43,815,0.14,319,7,0.25,,,
20240319071016 ,0,1019.52,19.26,94.27,946.83,0.19,319,7,0.25,,,
20240319072016 ,0,1019.6,19.14,93.91,1392.33,0.39,319,7,0.25,,,
20240319073016 ,0,1019.67,19.02,93.05,1577.58,0.53,319,7,0.25,,,
20240319074016 ,0,1019.81,18.95,93.68,1593.75,0.47,319,7,0.25,,,
20240319075016 ,0,1019.91,19.02,93.74,2079,0.75,319,7,0.25,,,
20240319080016 ,0,1019.94,19.13,93.35,3076.58,1.75,319,8,0.25,,,
20240319081016 ,0,1020.08,19.25,91.97,3811.75,2.46,319,8,0.25,,,
20240319082016 ,0,1020.24,19.4,91.3,3950.67,2.61,319,8,0.25,,,
20240319083016 ,0,1020.32,19.46,91.34,2728.42,1.3,319,8,0.25,,,
20240319084016 ,0,1020.42,19.65,90.63,2700.5,1.3,319,8,0.25,,,
20240319085016 ,0,1020.49,19.6,90,3212.17,1.79,319,8,0.25,,,
20240320070016 ,0,1026.81,19.23,43.84,4075.25,4.06,320,7,0.25,,,
20240320071016 ,0,1026.97,19.32,43.96,4713.67,5,320,7,0.25,,,
20240320072016 ,0,1027.05,19.4,44.48,5740.08,7.12,320,7,0.25,,,
20240320073016 ,0,1027.18,19.46,44.39,6670.83,9.53,320,7,0.25,,,
20240320074016 ,0,1027.29,19.66,43.23,7922.58,13.4,320,7,0.25,,,
20240320075016 ,0,1027.39,19.92,42.37,9861.92,20.51,320,7,0.25,,,
20240320080016 ,0,1027.39,20.32,42.39,12857.92,34.33,320,8,0.25,,,
20240320081016 ,0,1027.47,20.42,42.97,15149.08,47.01,320,8,0.25,,,
20240320082016 ,0,1027.56,20.99,41.69,19900.33,79.46,320,8,0.25,,,
20240320083016 ,0,1027.55,21.6,40.48,22250.25,97.5,320,8,0.25,,,
20240320084016 ,0,1027.49,21.84,39.63,25579.58,128.05,320,8,0.25,,,
20240320085016 ,0,1027.45,22.67,38.54,32125.08,200.75,320,8,0.25,,,
20240321070016 ,0,1022.69,21.48,52.09,22189.92,189.29,321,7,0.25,,,
20240321071016 ,0,1022.64,25.28,43.42,35864.75,441.33,321,7,0.25,,,
20240321072016 ,0,1022.6,27.42,37.96,38410.2,438.01,321,7,0.25,,,
20240321073016 ,0,1022.64,28.72,34.68,47914.64,622.1,321,7,0.25,,,
20240321074016 ,0,1022.63,30.59,31.65,58111.83,830.23,321,7,0.25,,,
20240321075016 ,0,1022.7,32.53,28.71,64555.25,964.38,321,7,0.25,,,
20240321080016 ,0,1022.73,34,26.07,70843.42,1085.13,321,8,0.25,,,
20240321081016 ,0,1022.79,34.74,24.49,79185.05,1249.72,321,8,0.25,,,
20240321082016 ,0,1022.89,35.66,23.53,85445.36,1375.6,321,8,0.25,,,
20240321083016 ,0,1022.83,36.94,21.28,91363.55,1473.86,321,8,0.25,,,
20240321084016 ,0,1022.8,37.54,20.8,96861.26,1539.64,321,8,0.25,,,
20240321085016 ,0,1022.73,39.4,17.27,97964.54,1481.48,321,8,0.25,,,
20240322070016 ,0,1017.83,19.85,62.98,2702.67,1.68,322,7,0.25,,,
20240322071016 ,0,1017.94,19.84,63.72,3370.42,2.55,322,7,0.25,,,
20240322072016 ,0,1017.91,20.22,63.1,4324.08,4.2,322,7,0.25,,,
20240322073016 ,0,1018.01,20.47,62.33,6119,8.28,322,7,0.25,,,
20240322074016 ,0,1018.03,20.85,61.66,6420.16,8.8,322,7,0.25,,,
20240322075016 ,0,1018.06,21.36,60.13,8285,14.42,322,7,0.25,,,
20240322080016 ,0,1018.1,21.67,59.1,8009.25,13.74,322,8,0.25,,,
20240322081016 ,0,1018.24,22.27,57.73,13107.25,36.71,322,8,0.25,,,
20240322082016 ,0,1018.24,23.71,53.38,25122.42,126.85,322,8,0.25,,,
20240322083016 ,0,1018.19,26.57,45.67,43861.47,407.75,322,8,0.25,,,
20240322084016 ,0,1018.08,30.63,36.77,55300.88,616.5,322,8,0.25,,,
20240322085016 ,0,1018.04,30.04,36.17,45373.95,593.76,322,8,0.25,,,
20240323070016 ,0,1015.89,27.01,54.6,25228.25,248.99,323,7,0.25,,,
20240323071016 ,0,1015.91,27.2,52.97,24938.58,214.32,323,7,0.25,,,
20240323072016 ,0,1016.09,28.63,50.58,32802.75,306.74,323,7,0.25,,,
20240323073016 ,0,1016.18,31.65,43.36,44839.23,547.94,323,7,0.25,,,
20240323074016 ,0,1016.17,33.94,37.92,46598.2,552.48,323,7,0.25,,,
20240323075016 ,0,1016.27,33.15,38.95,39651.49,369.93,323,7,0.25,,,
20240323080016 ,0,1016.28,34.68,36.61,50592.17,621.09,323,8,0.25,,,
20240323081016 ,0,1016.33,33.01,38.93,36752.98,352.03,323,8,0.25,,,
20240323082016 ,0,1016.43,35.63,34.73,69845.43,1008.64,323,8,0.25,,,
20240323083016 ,0,1016.35,40.35,26.74,87843.83,1380.01,323,8,0.25,,,
20240323084016 ,0,1016.44,42.36,23.88,89289.95,1373.88,323,8,0.25,,,
20240323085016 ,0,1016.48,43.1,22.19,93629.76,1444.45,323,8,0.25,,,
20240324070016 ,0.36,1018.1,28.33,93.81,33023.5,391.13,324,7,0.25,,,
20240324071016 ,0.36,1018.23,31.56,89.92,41949.6,537.23,324,7,0.25,,,
20240324072016 ,0.34,1018.32,33.17,82.28,47927.58,622.23,324,7,0.25,,,
20240324073016 ,0.75,1018.51,34.67,70.9,55237.74,806.21,324,7,0.25,,,
20240324074016 ,0,1018.61,36.17,59.04,47468.7,556.23,324,7,0.25,,,
20240324075016 ,0,1018.69,37.66,49.77,72742.17,1145.33,324,7,0.25,,,
20240324080016 ,0,1018.7,39.54,41.54,61608.2,820.87,324,8,0.25,,,
20240324081016 ,0,1018.66,39.81,38.86,79355.04,1239.4,324,8,0.25,,,
20240324082016 ,0,1018.77,37.6,42.7,33713.75,214.91,324,8,0.25,,,
20240324083016 ,0,1018.8,34.76,48.91,36431.71,251.42,324,8,0.25,,,
